
as 16:16:32 ---- APP STARTED ---

sc 16:16:33 -- :Menu Utama --
.. 16:16:46      .
td 16:34:09      touched on :(1130.0, 815.0)
td 16:34:09      touched on :(1046.0, 858.0000000000001)
td 16:34:09      touched on :(1238.0, 859.0)
td 16:34:09      touched on :(1190.0, 945.0)
td 16:34:09      touched on :(1208.0, 989.0)
td 16:34:09      touched on :(1174.0, 1027.0)
td 16:34:09      touched on :(1071.0, 946.0)
td 16:34:09      touched on :(971.0, 1064.0)
td 16:34:09      touched on :(1025.0, 849.9999999999999)
td 16:34:09      touched on :(913.0, 984.0)
td 16:34:09      touched on :(399.0, 827.0)
td 16:34:09      touched on :(352.0, 801.0)
td 16:34:09      touched on :(486.0, 811.0)
td 16:34:09      touched on :(318.0, 704.0)
td 16:34:09      touched on :(206.0, 644.0)
td 16:34:09      touched on :(184.0, 617.0)
td 16:34:09      touched on :(157.0, 709.0)
td 16:34:09      touched on :(267.0, 457.0)
td 16:34:09      touched on :(341.0, 471.0)
td 16:34:09      touched on :(482.0, 515.0)
td 16:34:09      touched on :(378.0, 563.9999999999999)
td 16:34:09      touched on :(574.0, 528.0)
td 16:34:09      touched on :(874.0, 712.0)
td 16:34:09      touched on :(864.0, 796.0)
td 16:34:09      touched on :(1037.0, 720.0000000000001)
td 16:34:09      touched on :(1022.0000000000001, 822.0)
td 16:34:09      touched on :(1102.0, 847.0)
td 16:34:09      touched on :(963.0, 893.0)
td 16:34:09      touched on :(961.0, 969.0)
td 16:34:09      touched on :(983.0, 990.0)
td 16:34:09      touched on :(779.0, 776.0)
td 16:34:09      touched on :(473.0, 664.0)
td 16:34:09      touched on :(353.0, 750.0)
td 16:34:09      touched on :(292.0, 801.0)
td 16:34:09      touched on :(293.0, 629.9999999999999)
td 16:34:09      touched on :(233.0, 631.0)
td 16:34:09      touched on :(354.0, 626.0)
td 16:34:09      touched on :(219.0, 533.0)
td 16:34:09      touched on :(198.0, 565.0)
td 16:34:09      touched on :(393.0, 568.0)
td 16:34:09      touched on :(425.0, 572.0)
td 16:34:09      touched on :(517.0, 606.0)
td 16:34:09      touched on :(825.0, 749.0)
td 16:34:09      touched on :(919.0, 760.0)
td 16:34:10      touched on :(873.0, 798.0)
td 16:34:10      touched on :(898.0, 821.0)
td 16:34:10      touched on :(900.0, 843.0)
td 16:34:10      touched on :(1013.9999999999999, 812.0)
td 16:34:10      touched on :(922.0, 782.0)
td 16:34:10      touched on :(816.0, 868.0)
td 16:34:10      touched on :(913.0, 756.0)
td 16:34:10      touched on :(744.0, 789.0000000000001)
td 16:34:10      touched on :(678.0, 773.0)
td 16:34:10      touched on :(652.0, 557.0)
td 16:34:10      touched on :(582.0, 607.0000000000001)
td 16:34:10      touched on :(511.00000000000006, 629.0000000000001)
td 16:34:10      touched on :(545.0, 651.0000000000001)
td 16:34:10      touched on :(645.0, 626.0)
td 16:34:10      touched on :(523.0, 731.0)
td 16:34:10      touched on :(712.0, 663.0)
td 16:34:10      touched on :(667.0, 772.0)
td 16:34:10      touched on :(864.0, 859.0)
td 16:34:10      touched on :(880.0, 868.0)
td 16:34:10      touched on :(754.0, 865.0)
td 16:34:10      touched on :(836.0, 904.0)
td 16:34:10      touched on :(594.0, 774.0)
td 16:34:10      touched on :(653.0, 538.0)
td 16:34:10      touched on :(558.0, 545.0)
td 16:34:10      touched on :(496.00000000000006, 556.0)
td 16:34:10      touched on :(533.0, 603.0)
td 16:34:10      touched on :(583.0, 567.0)
td 16:34:10      touched on :(707.0, 667.0)
td 16:34:10      touched on :(582.0, 698.0000000000001)
td 16:34:10      touched on :(871.0, 859.0)
td 16:34:10      touched on :(838.0, 929.0)
td 16:34:10      touched on :(888.0, 908.0)
td 16:34:10      touched on :(905.0, 918.0)
td 16:34:10      touched on :(935.0, 736.9999999999999)
td 16:34:10      touched on :(784.0, 869.0)
td 16:34:10      touched on :(436.0, 504.0)
td 16:34:10      touched on :(561.0, 445.00000000000006)
td 16:34:10      touched on :(402.0, 457.0)
td 16:34:10      touched on :(461.0, 446.99999999999994)
td 16:34:10      touched on :(525.0, 469.0)
td 16:34:10      touched on :(353.0, 469.0)
td 16:34:10      touched on :(0.0, 171.99999999999994)
td 16:34:10      touched on :(567.0, 502.0)
td 16:34:10      touched on :(587.0, 525.0)
td 16:34:11      touched on :(904.0, 638.0)
td 16:34:11      touched on :(982.0, 678.0)
td 16:34:11      touched on :(1025.0, 732.0)
td 16:34:11      touched on :(1114.0, 739.0)
td 16:34:11      touched on :(1042.0, 810.0)
td 16:34:11      touched on :(1056.0, 858.0000000000001)
td 16:34:11      touched on :(0.0, 171.99999999999994)
td 16:34:11      touched on :(1167.0, 957.0)
td 16:34:11      touched on :(1095.0, 943.0)
td 16:34:11      touched on :(955.0, 921.0)
td 16:34:11      touched on :(1007.0000000000001, 1004.0)
td 16:34:11      touched on :(957.0, 955.0)
td 16:34:11      touched on :(542.0, 670.0)
td 16:34:11      touched on :(526.0, 603.0)
td 16:34:11      touched on :(448.0, 651.0000000000001)
td 16:34:11      touched on :(422.0, 522.0)
td 16:34:11      touched on :(305.0, 598.0)
td 16:34:11      touched on :(332.0, 481.00000000000006)
td 16:34:11      touched on :(476.0, 441.0)
td 16:34:11      touched on :(317.0, 456.00000000000006)
td 16:34:11      touched on :(647.0, 479.0)
td 16:34:11      touched on :(816.0, 563.9999999999999)
td 16:34:11      touched on :(1034.0, 678.0)
td 16:34:11      touched on :(1091.0, 720.9999999999999)
td 16:34:11      touched on :(1022.0000000000001, 855.0)
td 16:34:11      touched on :(1092.0, 827.0)
td 16:34:11      touched on :(1216.0, 753.0)
td 16:34:11      touched on :(1266.0, 837.0)
td 16:34:11      touched on :(1181.0, 908.0)
td 16:34:11      touched on :(1066.0, 920.0)
td 16:34:11      touched on :(660.0, 821.0)
td 16:34:11      touched on :(941.0, 766.0)
td 16:34:11      touched on :(971.0, 814.0000000000001)
td 16:34:11      touched on :(0.0, 171.99999999999994)
td 16:34:11      touched on :(729.0, 689.0)
td 16:34:11      touched on :(655.0, 644.0)
td 16:34:11      touched on :(515.0, 644.0)
